Device Name,Device ID,Sensor Name,Sensor ID,Date,Message,Traffic Total
Arista 7150 @NSE-PHASE-4 (172.16.4.3),2771,Eth1/44 Traffic (LIU-B25) (OFC-PNS-Secondary) to BSE-DC1 (LIU-B25) 172.16.5.3 Eth1/44,6157,03-07-2024 07:52:15,Not breach,0.0
Arista 7150 @NSE-PHASE-4 (172.16.4.3),2771,Eth1/45 Traffic G2 (LIU-A28) (OFC-PNS-Primary) to BSE-DC1 LIU-?? 172.16.5.3 Eth1/45,2853,03-07-2024 09:22:30,Not breach,66.0
Arista 7150 @NSE-PHASE-4 (172.16.4.3),2771,Eth1/47 Traffic G1 (LIU-A27) (OFC-PNS-Primary) to BSE-DC1 LIU-?? 172.16.5.3 Eth1/47,2855,03-07-2024 09:22:21,Not breach,2963.0
Arista 7150 @NSE-PHASE-4 (172.16.4.3),2771,(004) APT_Commodities_NSE_4.3(4)_TO_BSE_5.3(4)_vlan 1911_7000019470 Traffic,6808,03-07-2024 08:00:09,Not breach,13.0
Arista 7150 @NSE-PHASE-4 (172.16.4.3),2771,(040) NSE(P4)_TO_BSE_PO1_L3_BKP_QNQ_1803_4.5_Eth1/38 Traffic,7227,03-07-2024 11:23:11,Not breach,0.0
Huawei S5720 @NSE-PHASE-2 (172.16.4.22),3075,XGE0/0/2 Traffic Phase-2 to Phase-1 172.16.4.1 Eth1/24,3334,03-07-2024 15:01:05,Not breach,107.0
Huawei CE6810 @NSE-PHASE-2 (172.16.4.24),3076,10GE1/0/24 Traffic LIU-A21 (OFC-PNS-Primary) to BSE-DC1 LIU-8 172.16.5.2 XGE0/0/47,3103,N/A,Not breach,
Arista 7150S @NSE-PHASE-2 (172.16.4.25),3081,Eth17 Traffic G21 LIU-A23 (OFC-PNS-Primary) to BSE-DC1 LIU-18 172.16.5.3 Eth1/42,3125,N/A,Not breach,
Arista 7150S @NSE-PHASE-2 (172.16.4.25),3081,Eth18 Traffic G21 LIU-A22 (OFC-PNS-Primary) to BSE-DC1 LIU-24 172.16.5.3 Eth1/41,3126,03-07-2024 09:16:16,Not breach,73.0
Arista 7150S @NSE-PHASE-2 (172.16.4.25),3081,Eth_24 Traffic NSE-P2_TO_BSE_LIU-A21 (OFC-PNS-Primary) to 172.17.5.2 Eth1/24_LIU-7,6711,03-07-2024 09:15:40,Not breach,239.0
