"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Unicast In (Volume)","Unicast In (Volume)(RAW)","Unicast In (Speed)","Unicast In (Speed)(RAW)","Unicast Out (Volume)","Unicast Out (Volume)(RAW)","Unicast Out (Speed)","Unicast Out (Speed)(RAW)","Multicast In (Volume)","Multicast In (Volume)(RAW)","Multicast In (Speed)","Multicast In (Speed)(RAW)","Multicast Out (Volume)","Multicast Out (Volume)(RAW)","Multicast Out (Speed)","Multicast Out (Speed)(RAW)","Broadcast In (Volume)","Broadcast In (Volume)(RAW)","Broadcast In (Speed)","Broadcast In (Speed)(RAW)","Broadcast Out (Volume)","Broadcast Out (Volume)(RAW)","Broadcast Out (Speed)","Broadcast Out (Speed)(RAW)","Errors In (Volume)","Errors In (Volume)(RAW)","Errors In (Speed)","Errors In (Speed)(RAW)","Errors Out (Volume)","Errors Out (Volume)(RAW)","Errors Out (Speed)","Errors Out (Speed)(RAW)","Discards In (Volume)","Discards In (Volume)(RAW)","Discards In (Speed)","Discards In (Speed)(RAW)","Discards Out (Volume)","Discards Out (Volume)(RAW)","Discards Out (Speed)","Discards Out (Speed)(RAW)","Unknown Protocols In (Volume)","Unknown Protocols In (Volume)(RAW)","Unknown Protocols In (Speed)","Unknown Protocols In (Speed)(RAW)","Coverage","Coverage(RAW)"
"29-06-2024 00:05:27","45471.7746182755","0.10 MB","103548.0000","0.03 Mbit/s","3451.6000","0.06 MB","63143.0000","0.02 Mbit/s","2104.7667","0.04 MB","40405.0000","0.01 Mbit/s","1346.8333","507 #","507.0000","17 #/s","16.9000","302 #","302.0000","10 #/s","10.0667","19 #","19.0000","0.63 #/s","0.6333","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:05:57","45471.7749654977","0.09 MB","95668.0000","0.03 Mbit/s","3188.9333","0.05 MB","57466.0000","0.02 Mbit/s","1915.5333","0.04 MB","38202.0000","0.01 Mbit/s","1273.4000","469 #","469.0000","16 #/s","15.6333","295 #","295.0000","9.83 #/s","9.8333","18 #","18.0000","0.60 #/s","0.6000","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:06:27","45471.7753127315","0.07 MB","76963.0000","0.02 Mbit/s","2565.4333","0.03 MB","34373.0000","","1145.7667","0.04 MB","42590.0000","0.01 Mbit/s","1419.6667","253 #","253.0000","8.43 #/s","8.4333","318 #","318.0000","11 #/s","10.6000","19 #","19.0000","0.63 #/s","0.6333","7 #","7.0000","0.23 #/s","0.2333","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:06:57","45471.7756599653","0.08 MB","80408.0000","0.02 Mbit/s","2680.2667","0.04 MB","40547.0000","0.01 Mbit/s","1351.5667","0.04 MB","39861.0000","0.01 Mbit/s","1328.7000","317 #","317.0000","11 #/s","10.5667","307 #","307.0000","10 #/s","10.2333","20 #","20.0000","0.67 #/s","0.6667","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:07:27","45471.7760071875","0.12 MB","124153.0000","0.03 Mbit/s","4138.4333","0.07 MB","70914.0000","0.02 Mbit/s","2363.8000","0.05 MB","53239.0000","0.01 Mbit/s","1774.6333","559 #","559.0000","19 #/s","18.6333","401 #","401.0000","13 #/s","13.3667","25 #","25.0000","0.83 #/s","0.8333","9 #","9.0000","0.30 #/s","0.3000","7 #","7.0000","0.23 #/s","0.2333","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:07:57","45471.7763543982","0.10 MB","106447.0000","0.03 Mbit/s","3549.4165","0.06 MB","62836.0000","0.02 Mbit/s","2095.2317","0.04 MB","43611.0000","0.01 Mbit/s","1454.1847","513 #","513.0000","17 #/s","17.1057","336 #","336.0000","11 #/s","11.2037","19 #","19.0000","0.63 #/s","0.6335","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2001","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:08:27","45471.7767016319","0.07 MB","69266.0000","0.02 Mbit/s","2308.8667","0.03 MB","31799.0000","","1059.9667","0.04 MB","37467.0000","","1248.9000","236 #","236.0000","7.87 #/s","7.8667","279 #","279.0000","9.30 #/s","9.3000","18 #","18.0000","0.60 #/s","0.6000","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:08:57","45471.7770486921","0.08 MB","78994.0000","0.02 Mbit/s","2634.8899","0.04 MB","38045.0000","0.01 Mbit/s","1269.0127","0.04 MB","40949.0000","0.01 Mbit/s","1365.8773","294 #","294.0000","9.81 #/s","9.8065","314 #","314.0000","10 #/s","10.4736","20 #","20.0000","0.67 #/s","0.6671","5 #","5.0000","0.17 #/s","0.1668","6 #","6.0000","0.20 #/s","0.2001","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:09:27","45471.7773959144","0.10 MB","103569.0000","0.03 Mbit/s","3452.3000","0.06 MB","65358.0000","0.02 Mbit/s","2178.6000","0.04 MB","38211.0000","0.01 Mbit/s","1273.7000","526 #","526.0000","18 #/s","17.5333","284 #","284.0000","9.47 #/s","9.4667","20 #","20.0000","0.67 #/s","0.6667","7 #","7.0000","0.23 #/s","0.2333","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:09:57","45471.7777431250","0.09 MB","95696.0000","0.03 Mbit/s","3190.9303","0.05 MB","54065.0000","0.01 Mbit/s","1802.7676","0.04 MB","41631.0000","0.01 Mbit/s","1388.1627","438 #","438.0000","15 #/s","14.6049","320 #","320.0000","11 #/s","10.6702","18 #","18.0000","0.60 #/s","0.6002","5 #","5.0000","0.17 #/s","0.1667","5 #","5.0000","0.17 #/s","0.1667","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
